,id,tytułpolski,tytułoryginalny,rokprodukcji,ulubione,ocena,komentarz,krajprodukcji,gatunek,data
578,1085,Blue Velvet,,1986,,8,,USA,Thriller,2012-10-19
579,216910,Inland Empire,,2006,,8,,"Francja, Polska, USA","Fantasy, Thriller",2012-7-10
580,1084,Dzikość serca,Wild at Heart,1990,,8,,USA,"Kryminał, Romans",2012-7-10
581,564694,Róża,,2011,tak,9,,Polska,Dramat,2012-7-10
582,530950,Wszystkie odloty Cheyenne'a,This Must Be the Place,2011,tak,9,,"Francja, Irlandia, Włochy","Dramat, Komedia",2012-3-30
583,629035,Kac Wawa,,2011,,1,,Polska,Komedia,2012-3-7
584,9136,Requiem dla snu,Requiem for a Dream,2000,tak,7,,USA,Dramat,2012-1-11
585,200092,Krwawy diament,Blood Diamond,2006,,6,,"Niemcy, USA",Dramat,2012-1-11
586,231725,Wszyscy jesteśmy Chrystusami,,2006,,8,,Polska,Dramat,2012-1-11
587,92697,Skeczu z papugą nie będzie,Parrot Sketch Not Included: Twenty Years of Monty Python,1989,,8,,Wielka Brytania,Komedia,2012-1-11
588,1253,Fargo,,1996,tak,9,,"USA, Wielka Brytania","Dramat, Thriller",2011-7-31
589,120033,Kontrolerzy,Kontroll,2003,,5,,Węgry,"Dramat, Komedia",2011-7-13
590,7,Angielski pacjent,The English Patient,1996,tak,8,,"USA, Wielka Brytania","Melodramat, Wojenny",2011-7-13
591,470384,Dom zły,,2009,tak,8,,Polska,"Dramat, Kryminał",2011-7-13
592,1416,Straszny film,Scary Movie,2000,,5,,USA,Komedia,2011-7-13
593,95938,Gothika,,2003,,6,,USA,"Horror, Psychologiczny",2011-7-13
594,444424,I Love You Phillip Morris,,2009,,6,,"Francja, USA","Biograficzny, Dramat, Komedia",2011-7-5
595,450915,Jestem na tak,Yes Man,2008,,7,,"Australia, USA",Komedia rom.,2011-7-5
596,671,Leon zawodowiec,Léon,1994,,8,,Francja,"Dramat, Kryminał",2011-7-5
597,1456,Zmierzch bogów,La caduta degli dei (Götterdämmerung),1969,tak,8,,"Włochy, RFN","Dramat, Wojenny",2011-7-5
598,461946,Zapaśnik,The Wrestler,2008,,8,,"Francja, USA","Dramat obyczajowy, Sportowy",2011-7-5
599,765,Happiness,,1998,tak,8,,USA,"Dramat, Komedia, Obyczajowy",2011-7-4
