ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,originalTitle,startYear,genre_eng,titleType,primaryTitle,isAdult,endYear,runtimeMinutes,genres,averageRating,numVotes,similarity,diff,averageRating_int
491609,Ghostbusters. Pogromcy duchów,Ghostbusters,2016,0,2,USA,"Komedia, Akcja, Sci-Fi",2016-7-19,Ghostbusters,2016,"comedy, action, sci-fi",movie,Ghostbusters,0,\N,116,"Action,Comedy,Fantasy",5.2,193292,0,-3.2,5
493189,Samotny mężczyzna,A Single Man,2009,0,8,USA,Dramat,2018-12-8,A Single Man,2009,drama,movie,A Single Man,0,\N,99,"Drama,Romance",7.6,101237,0,0.40000000000000036,8
494685,Madagaskar 3,Madagascar 3: Europe's Most Wanted,2012,0,3,USA,"Animacja, Familijny, Komedia, Przygodowy",2014-6-12,Madagascar 3: Europe's Most Wanted,2012,"animacja, familijny, comedy, przygodowy",movie,Madagascar 3: Europe's Most Wanted,0,\N,93,"Adventure,Animation,Comedy",6.8,152074,0,-3.8,7
495247,The Runaways: Prawdziwa historia,The Runaways,2010,0,5,USA,"Biograficzny, Dramat, Muzyczny",2014-10-28,The Runaways,2010,"biographic, drama, muzyczny",movie,The Runaways,0,\N,106,"Biography,Drama,Music",6.5,44429,0,-1.5,6
500891,Incepcja,Inception,2010,0,4,"USA, Wielka Brytania","Surrealistyczny, Thriller, Sci-Fi",2010-8-18,Inception,2010,"surrealistyczny, thriller, sci-fi",movie,Inception,0,\N,148,"Action,Adventure,Sci-Fi",8.8,1901977,0,-4.800000000000001,9
505004,Wasza wysokość,Your Highness,2011,0,7,USA,"Fantasy, Komedia, Przygodowy",2013-11-28,Your Highness,2011,"fantasy, comedy, przygodowy",movie,Your Highness,0,\N,102,"Comedy,Fantasy",5.5,94138,0,1.5,6
507169,Labirynt,Prisoners,2013,0,7,USA,Thriller,2013-10-20,Prisoners,2013,thriller,movie,Prisoners,0,\N,153,"Crime,Drama,Mystery",8.1,546589,0,-1.0999999999999996,8
507501,Rare Export: Opowieść wigilijna,Rare Exports,2010,0,6,"Finlandia, Francja, Norwegia, Szwecja","Fantasy, Horror",2016-12-14,Rare Exports,2010,"fantasy, horror",movie,Rare Exports,0,\N,84,"Adventure,Fantasy,Horror",6.7,24523,0,-0.7000000000000002,7
510,Batman i Robin,Batman & Robin,1997,0,1,"USA, Wielka Brytania","Fantasy, Akcja",2014-5-10,Batman & Robin,1997,"fantasy, action",movie,Batman & Robin,0,\N,125,"Action,Sci-Fi",3.7,223460,0,-2.7,4
512784,Terminator: Genisys,Terminator Genisys,2015,0,6,USA,"Akcja, Sci-Fi",2015-7-2,Terminator Genisys,2015,"action, sci-fi",movie,Terminator Genisys,0,\N,126,"Action,Adventure,Sci-Fi",6.4,245015,0,-0.40000000000000036,6
5176,Poza prawem,Down by Law,1986,0,6,"USA, RFN","Dramat, Komedia kryminalna",2018-4-6,Down by Law,1986,"drama, komedia kryminalna",movie,Down by Law,0,\N,107,"Comedy,Crime,Drama",7.8,44682,0,-1.7999999999999998,8
5185,"Doktor Strangelove, lub jak przestałem się martwić i pokochałem bombę",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,0,8,"USA, Wielka Brytania",Satyra,2010-6-1,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,satyra,movie,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0,\N,95,Comedy,8.4,425569,0,-0.40000000000000036,8
5188,Drabina Jakubowa,Jacob's Ladder,1990,0,4,USA,"Thriller, Psychologiczny",2010-6-9,Jacob's Ladder,1990,"thriller, psychologiczny",movie,Jacob's Ladder,0,\N,113,"Drama,Horror,Mystery",7.5,93186,0,-3.5,8
