tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,OcenaImdb,genre_eng,similarity,diff,averageRating_int
tt1023114,movie,The Way Back,The Way Back,0,2010,\N,133,"Adventure,Drama,History",7.3,104097,496469,Niepokonani,The Way Back,2010,0,5,"Polska, USA, Zjednoczone Emiraty Arabskie","Przygodowy, Dramat historyczny",2011-11-2,2.5,"przygodowy, dramat historyczny",0,-2.3,7
tt1332106,movie,The Last Harbor,The Last Harbor,0,2010,\N,91,"Mystery,Thriller",4.3,199,496780,Ostatnia przystań,The Last Harbor,2010,0,2,USA,Thriller,2018-10-10,1.0,thriller,0,-2.3,4
tt1213648,movie,London Boulevard,London Boulevard,0,2010,\N,103,"Crime,Drama",6.2,45156,498798,Londyński bulwar,London Boulevard,2010,0,7,"USA, Wielka Brytania","Kryminał, Melodramat",2011-10-14,3.5,"crime, melodramat",0,0.7999999999999998,6
tt1324058,movie,Separation City,Separation City,0,2009,\N,107,"Comedy,Drama,Romance",5.7,852,500476,Miasto rozstań,Separation City,2009,0,4,Nowa Zelandia,"Dramat, Komedia, Romans",2012-2-20,2.0,"drama, comedy, romance",0,-1.7000000000000002,6
tt1369706,movie,The Ward,The Ward,0,2010,\N,89,"Horror,Mystery,Thriller",5.6,38914,500497,Oddział,The Ward,2010,0,3,USA,Horror,2013-3-27,1.5,horror,0,-2.5999999999999996,6
tt1278379,movie,Jack Goes Boating,Jack Goes Boating,0,2010,\N,91,"Drama,Romance",6.4,7759,500687,Jack uczy się pływać,Jack Goes Boating,2010,0,8,USA,"Dramat, Komedia, Romans",2014-8-26,4.0,"drama, comedy, romance",0,1.5999999999999996,6
tt1375666,movie,Inception,Inception,0,2010,\N,148,"Action,Adventure,Sci-Fi",8.8,1902725,500891,Incepcja,Inception,2010,0,6,"USA, Wielka Brytania","Surrealistyczny, Thriller, Sci-Fi",2011-10-20,3.0,"surrealistyczny, thriller, sci-fi",0,-2.8000000000000007,9
tt1182350,movie,You Will Meet a Tall Dark Stranger,You Will Meet a Tall Dark Stranger,0,2010,\N,98,"Comedy,Drama,Romance",6.3,42226,501868,Poznasz przystojnego bruneta,You Will Meet a Tall Dark Stranger,2010,0,6,"Hiszpania, USA",Komedia obycz.,2011-10-19,3.0,komedia obycz.,0,-0.2999999999999998,6
tt1385826,movie,The Adjustment Bureau,The Adjustment Bureau,0,2011,\N,106,"Romance,Sci-Fi,Thriller",7.0,232255,501993,Władcy umysłów,The Adjustment Bureau,2011,0,6,USA,"Thriller, Romans, Sci-Fi",2014-3-16,3.0,"thriller, romance, sci-fi",0,-1.0,7
tt1385867,movie,Cop Out,Cop Out,0,2010,\N,107,"Action,Comedy,Crime",5.6,82773,502583,Cop Out: Fujary na tropie,Cop Out,2010,0,3,USA,Komedia kryminalna,2013-12-9,1.5,komedia kryminalna,0,-2.5999999999999996,6
