tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,Rok,OcenaImdb,KrajKod,genre_eng,similarity,diff,averageRating_int
tt0097576,movie,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,0,1989,\N,127,"Action,Adventure",8.2,651715,1213,Indiana Jones i ostatnia krucjata,Indiana Jones and the Last Crusade,1989,0,5,USA,Przygodowy,2010-6-1,2010,2.5,['USA'],przygodowy,0,-3.1999999999999993,8
tt0087469,movie,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,0,1984,\N,118,"Action,Adventure",7.6,418327,1214,Indiana Jones i Świątynia Zagłady,Indiana Jones and the Temple of Doom,1984,0,7,USA,Przygodowy,2010-6-1,2010,3.5,['USA'],przygodowy,0,-0.5999999999999996,8
tt0387564,movie,Saw,Saw,0,2004,\N,103,"Horror,Mystery,Thriller",7.6,360373,121413,Piła,Saw,2004,0,5,"Australia, USA",Horror,2010-6-1,2010,2.5,"['AUS', 'USA']",horror,0,-2.5999999999999996,8
tt0082971,movie,Raiders of the Lost Ark,Raiders of the Lost Ark,0,1981,\N,115,"Action,Adventure",8.4,834112,1216,Poszukiwacze zaginionej Arki,Raiders of the Lost Ark,1981,0,8,USA,Przygodowy,2010-6-1,2010,4.0,['USA'],przygodowy,0,-0.40000000000000036,8
tt0449088,movie,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,0,2007,\N,169,"Action,Adventure,Fantasy",7.1,568161,121760,Piraci z Karaibów: Na krańcu świata,Pirates of the Caribbean: At World's End,2007,0,5,USA,"Fantasy, Przygodowy",2010-6-1,2010,2.5,['USA'],"fantasy, przygodowy",0,-2.0999999999999996,7
tt0365748,movie,Shaun of the Dead,Shaun of the Dead,0,2004,\N,99,"Comedy,Horror",7.9,483226,121881,Wysyp żywych trupów,Shaun of the Dead,2004,0,8,"Francja, Wielka Brytania","Horror, Komedia",2014-10-7,2014,4.0,"['FRA', 'GBR']","horror, comedy",0,0.09999999999999964,8
tt0405296,movie,A Scanner Darkly,A Scanner Darkly,0,2006,\N,100,"Animation,Crime,Drama",7.1,102490,121935,Przez ciemne zwierciadło,A Scanner Darkly,2006,0,8,USA,"Animacja, Thriller, Sci-Fi",2018-6-2,2018,4.0,['USA'],"animacja, thriller, sci-fi",0,0.9000000000000004,7
tt0092965,movie,Empire of the Sun,Empire of the Sun,0,1987,\N,153,"Drama,History,War",7.8,108418,1221,Imperium Słońca,Empire of the Sun,1987,0,6,USA,"Dramat, Wojenny",2010-6-1,2010,3.0,['USA'],"drama, war",0,-1.7999999999999998,8
tt0107818,movie,Philadelphia,Philadelphia,0,1993,\N,125,Drama,7.7,211184,1222,Filadelfia,Philadelphia,1993,1,9,USA,Dramat,2010-6-1,2010,4.5,['USA'],drama,0,1.2999999999999998,8
tt0382932,movie,Ratatouille,Ratatouille,0,2007,\N,111,"Adventure,Animation,Comedy",8.0,598634,123312,Ratatuj,Ratatouille,2007,0,4,USA,"Animacja, Familijny, Komedia",2011-1-14,2011,2.0,['USA'],"animacja, familijny, comedy",0,-4.0,8
tt0106364,movie,Batman: Mask of the Phantasm,Batman: Mask of the Phantasm,0,1993,\N,76,"Action,Adventure,Animation",7.8,39828,123413,Batman: Maska Batmana,Batman: Mask of the Phantasm,1993,0,6,USA,"Animacja, Familijny, Fantasy, Akcja",2018-2-10,2018,3.0,['USA'],"animacja, familijny, fantasy, action",0,-1.7999999999999998,8
tt0108550,movie,What's Eating Gilbert Grape,What's Eating Gilbert Grape,0,1993,\N,118,Drama,7.8,202243,1236,Co gryzie Gilberta Grape'a,What's Eating Gilbert Grape,1993,1,9,USA,Dramat,2010-6-1,2010,4.5,['USA'],drama,0,1.2000000000000002,8
tt0382625,movie,The Da Vinci Code,The Da Vinci Code,0,2006,\N,149,"Action,Mystery,Thriller",6.6,380436,124613,Kod da Vinci,The Da Vinci Code,2006,0,5,"Francja, USA, Wielka Brytania, Malta",Thriller,2010-6-1,2010,2.5,"['FRA', 'USA', 'GBR', 'MLT']",thriller,0,-1.5999999999999996,7
tt0413267,movie,Shrek the Third,Shrek the Third,0,2007,\N,93,"Adventure,Animation,Comedy",6.0,263814,125973,Shrek Trzeci,Shrek the Third,2007,0,5,USA,"Animacja, Familijny, Komedia",2010-6-1,2010,2.5,['USA'],"animacja, familijny, comedy",0,-1.0,6
tt0095016,movie,Die Hard,Die Hard,0,1988,\N,132,"Action,Thriller",8.2,739477,1270,Szklana pułapka,Die Hard,1988,0,8,USA,Sensacyjny,2010-6-1,2010,4.0,['USA'],sensacyjny,0,-0.1999999999999993,8
tt0407304,movie,War of the Worlds,War of the Worlds,0,2005,\N,116,"Adventure,Sci-Fi,Thriller",6.5,396267,127025,Wojna światów,War of the Worlds,2005,0,3,USA,"Dramat, Sci-Fi",2010-6-1,2010,1.5,['USA'],"drama, sci-fi",0,-3.5,6
tt0112864,movie,Die Hard with a Vengeance,Die Hard: With a Vengeance,0,1995,\N,128,"Action,Adventure,Thriller",7.6,347599,1272,Szklana pułapka 3,Die Hard: With a Vengeance,1995,0,5,USA,Sensacyjny,2010-6-2,2010,2.5,['USA'],sensacyjny,0,-2.5999999999999996,8
tt0399201,movie,The Island,The Island,0,2005,\N,136,"Action,Sci-Fi,Thriller",6.8,291608,127272,Wyspa,The Island,2005,0,6,USA,"Akcja, Sci-Fi",2010-6-1,2010,3.0,['USA'],"action, sci-fi",0,-0.7999999999999998,7
tt0066921,movie,A Clockwork Orange,A Clockwork Orange,0,1971,\N,136,"Crime,Drama,Sci-Fi",8.3,710895,1275,Mechaniczna pomarańcza,A Clockwork Orange,1971,1,9,"USA, Wielka Brytania","Dramat, Sci-Fi",2010-6-1,2010,4.5,"['USA', 'GBR']","drama, sci-fi",0,0.6999999999999993,8
tt0067093,movie,Fiddler on the Roof,Fiddler on the Roof,0,1971,\N,181,"Drama,Family,Musical",8.0,36246,1301,Skrzypek na dachu,Fiddler on the Roof,1971,0,8,USA,"Dramat, Musical",2010-6-9,2010,4.0,['USA'],"drama, musical",0,0.0,8
