tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,Rok,OcenaImdb,KrajKod,genre_eng,similarity,diff,averageRating_int
tt0395584,movie,The Devil's Rejects,The Devil's Rejects,0,2005,\N,107,Horror,6.8,89090,119007,Bękarty diabła,The Devil's Rejects,2005,0,3,"Niemcy, USA",Horror,2014-8-23,2014,1.5,"['DEU', 'USA']",horror,0,-3.8,7
tt0358273,movie,Walk the Line,Walk the Line,0,2005,\N,136,"Biography,Drama,Music",7.8,220495,119046,Spacer po linie,Walk the Line,2005,0,8,"Niemcy, USA","Biograficzny, Muzyczny",2019-6-14,2019,4.0,"['DEU', 'USA']","biographic, muzyczny",0,0.20000000000000018,8
tt0069097,movie,"Play It Again, Sam","Play It Again, Sam",0,1972,\N,85,"Comedy,Romance",7.6,23432,11917,"Zagraj to jeszcze raz, Sam","Play It Again, Sam",1972,0,8,USA,Komedia,2018-10-9,2018,4.0,['USA'],comedy,0,0.40000000000000036,8
tt0405336,movie,Southland Tales,Southland Tales,0,2006,\N,145,"Comedy,Drama,Mystery",5.4,35608,119849,Koniec świata,Southland Tales,2006,0,10,"Francja, Niemcy, USA","Dramat, Komedia, Sci-Fi",2018-7-30,2018,5.0,"['FRA', 'DEU', 'USA']","drama, comedy, sci-fi",0,4.6,5
tt0389790,movie,Bee Movie,Bee Movie,0,2007,\N,91,"Adventure,Animation,Comedy",6.1,132096,119885,Film o pszczołach,Bee Movie,2007,0,6,USA,"Animacja, Komedia",2010-6-1,2010,3.0,['USA'],"animacja, comedy",0,-0.09999999999999964,6
tt0373981,movie,Kontroll,Kontroll,0,2003,\N,105,"Comedy,Crime,Drama",7.7,23381,120033,Kontrolerzy,Kontroll,2003,0,5,Węgry,"Dramat, Komedia",2011-7-13,2011,2.5,['HUN'],"drama, comedy",0,-2.7,8
tt0377749,movie,Dead Birds,Dead Birds,0,2004,\N,91,"Horror,Thriller,Western",5.6,9384,120444,Martwe ptaki,Dead Birds,2004,0,6,USA,Horror,2014-10-28,2014,3.0,['USA'],horror,0,0.40000000000000036,6
tt0114746,movie,12 Monkeys,Twelve Monkeys,0,1995,\N,129,"Mystery,Sci-Fi,Thriller",8.0,549665,1210,12 małp,Twelve Monkeys,1995,1,9,USA,"Dramat, Sci-Fi",2010-6-1,2010,4.5,['USA'],"drama, sci-fi",0,1.0,8
tt0108052,movie,Schindler's List,Schindler's List,0,1993,\N,195,"Biography,Drama,History",8.9,1133035,1211,Lista Schindlera,Schindler's List,1993,0,8,USA,"Dramat, Wojenny",2014-9-16,2014,4.0,['USA'],"drama, war",0,-0.9000000000000004,9
tt0107290,movie,Jurassic Park,Jurassic Park,0,1993,\N,127,"Action,Adventure,Sci-Fi",8.1,806332,1212,Park Jurajski,Jurassic Park,1993,0,8,USA,"Przygodowy, Sci-Fi",2010-6-1,2010,4.0,['USA'],"przygodowy, sci-fi",0,-0.09999999999999964,8
