ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,OcenaImdb,originalTitle,startYear,genre_eng
746246,The Meg,,2018,0,6,"Chiny, USA","Horror, Akcja, Sci-Fi",2018-9-26,3.0,,2018,"horror, action, sci-fi"
776171,Sicario 2: Soldado,Sicario: Day of the Soldado,2018,0,7,USA,"Thriller, Akcja",2018-9-26,3.5,Sicario: Day of the Soldado,2018,"thriller, action"
10029,Obława,Takedown,2000,0,7,USA,"Thriller, Akcja",2018-9-24,3.5,Takedown,2000,"thriller, action"
37335,Wyścig z czasem,Out of Time,2003,0,5,USA,"Kryminał, Thriller",2018-9-24,2.5,Out of Time,2003,"crime, thriller"
802930,Dziedzictwo. Hereditary,Hereditary,2018,0,6,USA,"Dramat, Horror",2018-9-24,3.0,Hereditary,2018,"drama, horror"
608065,Wywiad rodzinny,R.I.F. (Recherche dans l'Intérêt des Familles),2011,0,6,Francja,Thriller,2018-9-24,3.0,R.I.F. (Recherche dans l'Intérêt des Familles),2011,thriller
723027,Predator,The Predator,2018,0,6,"Kanada, USA","Akcja, Sci-Fi",2018-9-24,3.0,The Predator,2018,"action, sci-fi"
760272,mother!,Mother!,2017,0,7,USA,Horror,2018-9-24,3.5,Mother!,2017,horror
119659,Wszyscy ludzie króla,All the King's Men,2006,0,7,"Niemcy, USA","Dramat, Thriller, Polityczny",2018-9-22,3.5,All the King's Men,2006,"drama, thriller, polityczny"
713866,Dziewczyny śmierci,The Final Girls,2015,0,6,USA,"Horror, Komedia",2018-9-22,3.0,The Final Girls,2015,"horror, comedy"
1476,Święty dym,Holy Smoke,1999,0,3,"Australia, USA","Dramat obyczajowy, Psychologiczny",2018-9-22,1.5,Holy Smoke,1999,"dramat obyczajowy, psychologiczny"
322874,Transfer,Rendition,2007,0,7,USA,"Dramat, Thriller",2018-9-21,3.5,Rendition,2007,"drama, thriller"
780203,Ostateczna rozgrywka,Final Score,2018,0,5,Wielka Brytania,Akcja,2018-9-20,2.5,Final Score,2018,action
734586,Bez litości 2,The Equalizer 2,2018,0,7,USA,"Thriller, Akcja",2018-9-18,3.5,The Equalizer 2,2018,"thriller, action"
782853,Welcome the Stranger,,2018,0,3,USA,Dramat,2018-9-16,1.5,,2018,drama
796891,Dziewczyna we mgle,La ragazza nella nebbia,2017,0,7,"Francja, Niemcy, Włochy","Kryminał, Thriller",2018-9-16,3.5,La ragazza nella nebbia,2017,"crime, thriller"
757444,Ocean's 8,,2018,0,4,USA,Komedia kryminalna,2018-9-14,2.0,,2018,komedia kryminalna
546975,127 godzin,127 Hours,2010,0,6,"USA, Wielka Brytania",Dramat,2018-9-13,3.0,127 Hours,2010,drama
491321,Blitz,,2011,0,4,"Francja, USA, Wielka Brytania","Kryminał, Thriller",2018-9-12,2.0,,2011,"crime, thriller"
782021,Bliźnięta,Gemini,2017,0,5,USA,Thriller,2018-9-12,2.5,Gemini,2017,thriller
7971,Na krawędzi,Cliffhanger,1993,0,5,"Francja, USA, Włochy","Przygodowy, Thriller",2018-9-10,2.5,Cliffhanger,1993,"przygodowy, thriller"
807151,UFO,,2018,0,6,USA,"Thriller, Sci-Fi",2018-9-5,3.0,,2018,"thriller, sci-fi"
631256,Rozłączeni,Disconnect,2012,0,5,USA,"Dramat, Thriller",2018-9-4,2.5,Disconnect,2012,"drama, thriller"
781685,Sweet Virginia,,2017,0,4,"Kanada, USA","Dramat, Thriller",2018-9-4,2.0,,2017,"drama, thriller"
788644,41 dni nadziei,Adrift,2018,0,4,"Hongkong, Islandia, USA",Dramat,2018-9-3,2.0,Adrift,2018,drama
688373,Początek,I Origins,2014,0,3,USA,"Dramat, Sci-Fi",2018-8-31,1.5,I Origins,2014,"drama, sci-fi"
