ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Komentarz,Kraj produkcji,Gatunek,Data
503360,Krach,,2010,,5,,"Belgia, Francja, Kanada","Dramat, Sensacyjny, Thriller",2012-4-20
608678,Internetowy zabójca,The Craigslist Killer,2011,,5,,USA,"Kryminał, Thriller",2012-4-20
30391,Walentynki,Valentine,2001,,4,,USA,Horror,2012-4-16
147688,Red Eye,,2005,,6,,USA,Thriller,2012-4-16
504776,Igrzyska śmierci,The Hunger Games,2012,,6,,USA,"Akcja, Sci-Fi",2012-4-10
601849,Wyjazd integracyjny,,2011,,2,,Polska,Komedia,2012-4-10
4294,Ryzyko,Boiler Room,2000,,7,,USA,"Dramat, Kryminał, Thriller",2012-3-30
587143,Wymyk,,2011,,5,,Polska,Dramat obyczajowy,2012-3-26
525386,Schronienie,Le Refuge,2009,,3,,Francja,Dramat,2012-3-22
530950,Wszystkie odloty Cheyenne'a,This Must Be the Place,2011,,8,,"Francja, Irlandia, Włochy","Dramat, Komedia",2012-3-20
92296,I uderzył grom,A Sound of Thunder,2005,,2,,"Czechy, Niemcy, USA, Wielka Brytania","Przygodowy, Sci-Fi",2012-3-15
567359,Teksas - Pola śmierci,Texas Killing Fields,2011,,5,,USA,"Dramat, Kryminał, Thriller",2012-3-15
570991,Kobieta w czerni,The Woman in Black,2012,,5,,"Kanada, Szwecja, Wielka Brytania","Dramat, Horror",2012-3-13
153163,W ciszy,The Quiet,2005,,4,,USA,"Dramat, Thriller",2012-3-7
529267,Columbus Circle,,2012,,6,,USA,Thriller,2012-3-5
382376,I wszystko lśni,Sunshine Cleaning,2008,,8,,USA,"Dramat, Komedia",2012-2-28
109311,Czekając na cud,Noel,2004,,5,,"Kanada, USA",Dramat obyczajowy,2012-2-28
399213,Przerwane objęcia,Los Abrazos rotos,2009,,5,,Hiszpania,Thriller,2012-2-28
224473,Killshot,,2008,,5,,USA,"Dramat, Thriller, Akcja",2012-2-28
594620,Brudny glina,Rampart,2011,,6,,USA,"Dramat, Kryminał",2012-2-26
585427,Wspólna tajemnica,Bond of Silence,2010,,5,,USA,Dramat obyczajowy,2012-2-22
584251,Żelazna Dama,The Iron Lady,2011,,5,,"Francja, Wielka Brytania","Biograficzny, Dramat, Polityczny",2012-2-21
583704,Baby są jakieś inne,,2011,,5,,Polska,"Dramat, Komedia",2012-2-21
541346,Krzyżowy ogień,Assassination Games,2011,,5,,USA,"Thriller, Akcja",2012-2-20
260173,Numer 23,The Number 23,2007,,5,,USA,Thriller,2012-2-20
500476,Miasto rozstań,Separation City,2009,,4,,Nowa Zelandia,"Dramat, Komedia, Romans",2012-2-20
33128,Życie za życie,The Life of David Gale,2003,,7,,"Niemcy, USA, Wielka Brytania",Dramat,2012-2-20
349590,Strzelec,Shooter,2007,,6,,USA,Sensacyjny,2012-2-20
562632,1920 Bitwa Warszawska,,2011,,3,,Polska,"Dramat, Wojenny",2012-2-9
537562,Ki,,2011,,5,,Polska,Dramat obyczajowy,2012-2-8
608840,Ósma strona,Page Eight,2011,,5,,Wielka Brytania,"Dramat, Polityczny",2012-2-7
493926,Medium,Hereafter,2010,,4,,USA,"Dramat, Fantasy",2012-2-6
525620,W ciemności,In Darkness,2011,,6,,"Kanada, Niemcy, Polska","Dramat, Wojenny",2012-2-6
605096,Paranormal Activity 3,,2011,,4,,USA,Horror,2012-2-6
544183,Bez litości,I Spit on Your Grave,2010,,6,,USA,Thriller,2012-2-4
938,Mission: Impossible 2,Mission: Impossible II,2000,,4,,"Niemcy, USA",Sensacyjny,2012-1-30
348154,Dwa dni w Paryżu,2 Days in Paris,2007,,8,,"Francja, Niemcy",Komedia rom.,2012-1-30
299155,Krwawa hrabina,The Countess,2009,,5,,"Francja, Niemcy, USA","Thriller, Dramat historyczny",2012-1-30
1103,Wstręt,Repulsion,1965,,6,,Wielka Brytania,"Dramat, Psychologiczny",2012-1-30
599742,Rzeź,Carnage,2011,,7,,"Francja, Hiszpania, Niemcy, Polska","Dramat, Komedia",2012-1-30
506388,Do szpiku kości,Winter's Bone,2010,,7,,USA,"Dramat, Thriller",2012-1-24
563921,Na sprzedaż,Everything Must Go,2010,,6,,USA,"Dramat, Komedia",2012-1-10
220746,Ostrza chwały,Blades of Glory,2007,,5,,USA,"Komedia, Sportowy",2012-1-10
139159,Ricky Bobby - Demon prędkości,Talladega Nights: The Ballad of Ricky Bobby,2006,,6,,USA,"Komedia, Sportowy",2012-1-10
371687,Bracia przyrodni,Step Brothers,2008,,6,,USA,Komedia,2012-1-10
401429,Semi-Pro: Drużyna marzeń?,Semi-Pro,2008,,6,,USA,"Komedia, Sportowy",2012-1-10
190312,Przypadek Harolda Cricka,Stranger Than Fiction,2006,,6,,USA,"Fantasy, Komedia",2012-1-10
286244,Słaby punkt,Fracture,2007,,6,,"Niemcy, USA","Thriller, Dramat sądowy",2012-1-10
619088,Zamiana,Switch,2011,,6,,Francja,"Thriller, Akcja",2012-1-9
575916,Szpieg,Tinker Tailor Soldier Spy,2011,,8,,"Francja, Niemcy, Wielka Brytania","Thriller, Szpiegowski",2012-1-9
548487,The Caller,,2011,,6,,"Wielka Brytania, Portoryko","Kryminał, Thriller",2012-1-6
568905,Chciwość,Margin Call,2011,,7,,USA,"Dramat, Thriller",2012-1-5
587175,Wyścig z czasem,In Time,2011,,5,,USA,"Thriller, Akcja, Sci-Fi",2012-1-4
466716,Było sobie kłamstwo,The Invention of Lying,2009,,4,,USA,Komedia,2012-1-4
490838,Moneyball,,2011,,6,,USA,"Biograficzny, Dramat, Sportowy",2012-1-4
498675,"Wszystko, co kocham",,2009,,6,,Polska,Dramat obyczajowy,2012-1-4
539509,Sala samobójców,,2011,,6,,Polska,"Animacja, Thriller, Romans",2012-1-4
613510,Listy do M.,,2011,,4,,Polska,Komedia rom.,2012-1-4
4759,Mokra robota,Curdled,1996,,7,,USA,Komedia kryminalna,2012-1-2
401773,Coś,The Thing,2011,,6,,"Kanada, USA","Horror, Sci-Fi",2012-1-2
