ID,Tytuł polski,Tytuł oryginalny,Rok produkcji,Ulubione,Ocena,Kraj produkcji,Gatunek,Data,Rok,OcenaImdb,KrajKod,originalTitle,startYear,genre_eng
694864,Warsaw by Night,,2014,0,5,Polska,"Dramat, Komedia",2015-2-9,2015,2.5,['POL'],,2014,"drama, comedy"
647735,Hiszpanka,,2014,0,3,Polska,"Historyczny, Kryminał, Akcja",2015-1-29,2015,1.5,['POL'],,2014,"historical, crime, action"
680709,Birdman,,2014,0,9,USA,"Dramat, Komedia",2015-1-27,2015,4.5,['USA'],,2014,"drama, comedy"
662242,Hobbit: Bitwa Pięciu Armii,The Hobbit: The Battle of the Five Armies,2014,0,7,"Nowa Zelandia, USA","Fantasy, Przygodowy",2015-1-19,2015,3.5,"['NZL', 'USA']",The Hobbit: The Battle of the Five Armies,2014,"fantasy, przygodowy"
472866,Wielkie oczy,Big Eyes,2014,0,7,USA,"Biograficzny, Dramat",2015-1-8,2015,3.5,['USA'],Big Eyes,2014,"biographic, drama"
698144,John Wick,,2014,0,6,"Chiny, USA","Thriller, Akcja",2015-1-7,2015,3.0,"['CHN', 'USA']",,2014,"thriller, action"
698847,Whiplash,,2014,0,8,USA,"Dramat, Muzyczny",2015-1-6,2015,4.0,['USA'],,2014,"drama, muzyczny"
8727,Podejrzani,The Usual Suspects,1995,0,9,"Niemcy, USA","Kryminał, Thriller",2014-12-16,2014,4.5,"['DEU', 'USA']",The Usual Suspects,1995,"crime, thriller"
558709,Geneza planety małp,Rise of the Planet of the Apes,2011,0,8,USA,"Dramat, Akcja, Sci-Fi",2014-12-11,2014,4.0,['USA'],Rise of the Planet of the Apes,2011,"drama, action, sci-fi"
652536,Klątwa Jessabelle,Jessabelle,2014,0,3,USA,Horror,2014-12-11,2014,1.5,['USA'],Jessabelle,2014,horror
687674,Wolny strzelec,Nightcrawler,2014,0,7,USA,"Dramat, Kryminał",2014-12-10,2014,3.5,['USA'],Nightcrawler,2014,"drama, crime"
694473,Blue Highway,,2013,0,7,USA,Komedia,2014-12-8,2014,3.5,['USA'],,2013,comedy
676364,Babadook,The Babadook,2014,0,6,"Australia, Kanada",Horror,2014-12-8,2014,3.0,"['AUS', 'CAN']",The Babadook,2014,horror
91994,Basen,Swimming Pool,2003,0,6,"Francja, Wielka Brytania","Erotyczny, Thriller, Psychologiczny",2014-12-8,2014,3.0,"['FRA', 'GBR']",Swimming Pool,2003,"erotyczny, thriller, psychologiczny"
626983,Igrzyska śmierci: Kosogłos. Część 1,The Hunger Games: Mockingjay Part 1,2014,0,6,USA,"Akcja, Sci-Fi",2014-12-4,2014,3.0,['USA'],The Hunger Games: Mockingjay Part 1,2014,"action, sci-fi"
539632,Sklep dla samobójców,Le Magasin des suicides,2012,0,8,"Belgia, Francja, Kanada","Animacja, Komedia, Musical",2014-11-26,2014,4.0,"['BEL', 'FRA', 'CAN']",Le Magasin des suicides,2012,"animacja, comedy, musical"
6363,Potwór,Il Mostro,1994,0,8,"Francja, Włochy",Komedia,2014-11-24,2014,4.0,"['FRA', 'ITA']",Il Mostro,1994,comedy
594357,Strażnicy Galaktyki,Guardians of the Galaxy,2014,0,5,USA,"Akcja, Sci-Fi",2014-11-24,2014,2.5,['USA'],Guardians of the Galaxy,2014,"action, sci-fi"
482800,Diabelska plansza Ouija,Ouija,2014,0,6,USA,Horror,2014-11-20,2014,3.0,['USA'],Ouija,2014,horror
114091,Mały Otik,Otesánek,2000,0,9,"Czechy, Japonia, Wielka Brytania","Dramat, Fantasy, Czarna komedia",2014-11-17,2014,4.5,"['CZE', 'JPN', 'GBR']",Otesánek,2000,"drama, fantasy, czarna komedia"
375629,Interstellar,,2014,0,9,"USA, Wielka Brytania",Sci-Fi,2014-11-13,2014,4.5,"['USA', 'GBR']",,2014,sci-fi
567829,[REC] 4: Apokalipsa,[REC] 4: Apocalipsis,2014,0,7,Hiszpania,Horror,2014-11-13,2014,3.5,['ESP'],[REC] 4: Apocalipsis,2014,horror
694378,Bogowie,,2014,0,6,Polska,"Biograficzny, Dramat",2014-11-12,2014,3.0,['POL'],,2014,"biographic, drama"
240046,W pogoni za szczęściem,The Pursuit of Happyness,2006,0,9,USA,"Biograficzny, Dramat obyczajowy",2014-11-9,2014,4.5,['USA'],The Pursuit of Happyness,2006,"biographic, dramat obyczajowy"
565952,Nic do oclenia,Rien à Déclarer,2010,0,7,"Belgia, Francja",Komedia,2014-11-9,2014,3.5,"['BEL', 'FRA']",Rien à Déclarer,2010,comedy
569242,Cosmopolis,,2012,0,6,"Francja, Kanada, Portugalia, Włochy","Dramat, Thriller",2014-11-7,2014,3.0,"['FRA', 'CAN', 'PRT', 'ITA']",,2012,"drama, thriller"
684356,Dracula: Historia nieznana,Dracula Untold,2014,0,6,"Japonia, USA","Fantasy, Horror",2014-10-28,2014,3.0,"['JPN', 'USA']",Dracula Untold,2014,"fantasy, horror"
120444,Martwe ptaki,Dead Birds,2004,0,6,USA,Horror,2014-10-28,2014,3.0,['USA'],Dead Birds,2004,horror
